id,earliest_cr_line,open_acc,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
92507,1997-10-01,7,216,0.60%,19,5594,280,5000,594,2010-07-01,157,2007-06-01
92533,1996-07-01,15,27185,16.10%,29,5913,799,5000,913,2010-07-01,166,2007-06-01
92552,1995-08-01,6,28329,48.60%,6,5805,436,5000,805,2010-07-01,163,2010-06-01
92666,1995-02-01,16,60568,39.20%,38,5752,604,5000,752,2010-07-01,162,2007-06-01
92676,1996-06-01,12,40934,26.30%,39,5646,170,5000,646,2010-07-01,158,2007-06-01
93061,1997-10-01,8,8379,16.90%,16,5594,280,5000,594,2010-07-01,158,2010-06-01
93277,2000-09-01,10,3660,7.80%,13,3420,1083,3000,420,2010-07-01,98,2010-07-01
94838,1997-02-01,5,0,0%,8,3499,2975,3000,499,2010-07-01,99,2013-02-01
96350,1993-04-01,10,15840,47.10%,12,5913,1006,5000,913,2010-07-01,167,2012-10-01
96844,1992-02-01,15,6844,14.40%,29,6013,681,5300,713,2010-07-01,171,2010-07-01
98276,1989-03-01,4,1321,16.50%,4,6070,225,5400,670,2010-07-01,170,2013-12-01
98339,1995-06-01,11,4737,23.90%,22,5780,652,5100,680,2010-04-01,639,2007-06-01
98982,1999-01-01,21,23489,37.60%,28,5726,773,5000,726,2010-07-01,161,2010-07-01
99009,1987-01-01,10,2817,10.20%,16,6422,4105,5750,672,2010-05-01,5,2010-04-01
100214,1991-08-01,5,1783,0%,11,5594,4112,5000,594,2010-08-01,158,2007-06-01
101579,2003-09-01,4,3534,54.40%,4,11663,467,10000,1663,2010-07-01,329,2010-10-01
102376,2000-01-01,5,2422,23.30%,12,29270,615,25000,4270,2010-06-01,4,2010-06-01
106079,2002-12-01,10,2864,41.10%,16,3943,1352,3500,443,2009-03-01,1799,2016-05-01
106360,2003-08-01,12,3075,92.30%,13,3416,696,2700,716,2010-07-01,97,2010-07-01
107136,1969-02-01,10,17214,8.10%,24,13129,1635,12250,879,2008-04-01,9940,2007-07-01
109355,2004-05-01,3,1153,75.80%,4,1426,0,1200,226,2010-07-01,40,2010-07-01
111227,1996-01-01,17,41674,74.10%,26,20340,2846,16077.42,4263,2010-02-01,679,2016-05-01
111307,1995-04-01,9,43039,93.40%,24,14450,3011,12000,2450,2010-07-01,403,2010-07-01
111917,2001-04-01,7,3362,69.30%,8,7396,4710,6400,996,2010-08-01,207,2010-07-01
112216,1983-08-01,6,11868,71.90%,23,14362,1227,12000,2342,2011-03-01,240,2011-03-01
112245,1985-02-01,4,2562,14%,7,5594,4447,5000,594,2010-08-01,159,2016-04-01
112323,2003-09-01,17,1882,32.40%,18,4098,1317,3500,583,2010-09-01,7,2010-08-01
112496,2000-07-01,3,1064,70.90%,6,3580,627,3000,580,2010-08-01,102,2010-07-01
113156,1993-11-01,19,6432,6%,37,3953,3953,3500,453,2010-08-01,111,2010-07-01
113179,2004-07-01,9,4485,36.90%,11,704,669,544.02,139,2009-05-01,33,2009-10-01
113194,1993-11-01,13,16310,20.50%,32,4064,2003,3500,564,2010-08-01,115,2010-07-01
116040,1991-04-01,9,20969,40.20%,26,5779,896,5000,779,2010-08-01,164,2010-08-01
116582,2000-03-01,10,22213,65.90%,22,12261,1196,10000,2261,2010-08-01,344,2010-08-01
117056,1992-12-01,12,2160,2.30%,22,5593,1650,5000,593,2010-01-01,1222,2010-01-01
117249,1980-09-01,13,813,1%,36,5496,1429,5000,496,2009-06-01,2234,2009-06-01
117794,1993-05-01,15,23678,24.40%,60,7827,418,7500,327,2008-03-01,6416,2007-06-01
117863,2000-05-01,10,11289,47.80%,15,9200,2617,8000,1200,2010-05-01,155,2014-02-01
118523,1990-07-01,11,56411,75.30%,28,4055,140,2886.21,1169,2009-02-01,226,2016-05-01
118533,1994-02-01,9,269,3.80%,35,2087,689,1730.83,355,2010-03-01,2,2016-05-01
118823,1992-07-01,11,3408,35.10%,32,2221,600,1706.01,478,2010-03-01,2,2016-05-01
119043,1992-11-01,13,6513,34.30%,29,11653,452,8688.59,2660,2009-10-01,1017,2010-03-01
120215,2002-11-01,2,330,11%,4,4475,3999,4000,475,2010-08-01,120,2015-04-01
120374,2000-08-01,13,5967,19.80%,17,2280,542,2000,280,2010-08-01,65,2010-08-01
120525,2001-08-01,4,5533,79.60%,5,4709,1737,4000,709,2010-08-01,135,2011-06-01
121426,1984-09-01,15,21050,1%,24,3126,3100,3000,126,2008-04-01,2564,2007-08-01
121530,1984-09-01,17,21050,0.70%,29,3126,2319,3000,126,2008-04-01,2564,2007-08-01
121535,1999-05-01,6,8155,14.90%,8,3192,1853,2800,392,2010-09-01,90,2007-08-01
121568,1999-05-01,6,8155,14.90%,8,4623,2225,4000,623,2010-09-01,130,2007-08-01
121824,2000-02-01,10,3678,30.70%,14,3159,2291,3000,159,2008-05-01,2495,2015-01-01
122070,1999-07-01,10,2040,36.20%,21,6447,1970,5400,1047,2010-04-01,1056,2012-01-01
122404,2000-03-01,9,33074,68.80%,9,13814,1734,12750,1064,2008-04-01,11150,2007-08-01
122637,2000-09-01,12,1918,17.10%,16,4496,1743,4000,496,2010-09-01,127,2010-08-01
122718,2002-10-01,8,22379,62.20%,15,20043,867,18500,1543,2008-04-01,16178,2011-02-01
123228,2001-08-01,4,10296,42.50%,8,12839,625,10395.56,2443,2009-05-01,643,2016-05-01
123230,2004-02-01,16,2867,55.10%,17,629,282,455.95,173,2008-03-01,105,2016-04-01
124436,2002-10-01,9,12310,86.10%,15,5676,3636,4800,876,2010-09-01,161,2014-08-01
125671,1971-02-01,10,61921,39.10%,27,13820,5785,12125,1695,2010-09-01,386,2010-09-01
125897,1997-06-01,9,16738,26.10%,24,7175,2518,6625,550,2008-08-01,2330,2015-11-01
126213,1991-05-01,13,40384,9.20%,28,10728,4404,9500,1228,2010-09-01,300,2010-09-01
126215,2001-10-01,8,1359,5.60%,16,5460,2294,5000,460,2009-05-01,144,2009-05-01
126287,1979-06-01,18,107501,44.80%,34,11069,3238,10000,1069,2008-10-01,7111,2008-09-01
126392,1985-09-01,14,3054,5.60%,41,10436,2844,10000,436,2008-04-01,8554,2007-08-01
126776,1983-11-01,11,40384,9.60%,25,10728,1384,9500,1228,2010-10-01,306,2010-09-01
126788,1995-04-01,9,128000,0%,18,8105,6268,7500,605,2008-09-01,5469,2008-08-01
127213,1991-06-01,14,4709,18.50%,8,2220,1748,2000,220,2010-04-01,4,2010-04-01
127353,1992-09-01,5,2850,75%,19,3382,1246,2850,532,2010-04-01,10,2010-04-01
127472,1996-07-01,5,51,0%,9,2581,667,943.58,383,2009-03-01,74,2016-05-01
127504,1993-02-01,7,37152,3.70%,19,11292,1490,10000,1292,2010-11-01,318,2010-11-01
127531,1992-01-01,13,3839,16.60%,24,19556,346,17000,2556,2010-09-01,546,2015-11-01
127719,1993-02-01,6,37152,3.70%,12,11292,4142,10000,1292,2010-11-01,324,2010-11-01
127830,1997-10-01,15,26283,39.50%,20,7295,137,5717.45,1475,2009-12-01,267,2010-05-01
128635,2002-12-01,6,5607,42.20%,7,7649,589,6500,1089,2010-10-01,189,2012-04-01
128881,2004-08-01,3,1061,81.90%,4,8571,92,7000,1541,2010-11-01,127,2010-10-01
129745,1994-11-01,8,56740,77.50%,23,11664,321,10000,1664,2010-10-01,328,2010-09-01
130512,1992-08-01,11,40598,77.30%,42,8193,481,7250,943,2009-05-01,3947,2010-03-01
130735,2004-03-01,28,3815,6.50%,32,11445,1033,10250,1195,2008-09-01,7925,2008-08-01
130907,1996-12-01,10,0,0%,22,4192,1028,3775,417,2010-08-01,10,2016-03-01
130986,1963-05-01,4,50,0.30%,6,2339,2033,2100,239,2010-10-01,70,2010-12-01
131223,1997-11-01,4,4569,56.40%,7,25189,1512,20000,5189,2010-10-01,708,2010-09-01
131387,1999-04-01,6,8528,86.10%,7,7030,703,6000,1030,2010-10-01,199,2010-09-01
131618,2000-01-01,11,14345,45.80%,21,10642,917,9000,1642,2010-10-01,299,2013-03-01
131649,1998-07-01,11,113,2.40%,21,7834,1212,6625,1209,2010-10-01,220,2010-09-01
131782,1999-04-01,8,12231,81%,13,6138,813,4386.34,1602,2009-12-01,51,2010-05-01
132062,1997-06-01,14,13552,69.10%,18,8944,1553,7200,1744,2010-10-01,253,2016-04-01
132172,2000-11-01,11,16813,63.90%,13,6940,1041,6000,940,2010-02-01,1693,2010-02-01
132892,1997-08-01,9,26233,62.90%,37,4016,312,1496.83,610,2008-05-01,302,2016-05-01
132946,1982-07-01,7,5760,16%,10,5901,1091,5275,626,2010-10-01,173,2010-10-01
133301,1989-11-01,3,105,35%,25,4074,678,2938.05,677,2009-10-01,151,2016-05-01
133685,2001-10-01,10,11490,95.70%,11,7763,1114,6625,1138,2010-02-01,1889,2010-03-01
134436,1993-05-01,13,17641,30.50%,24,3069,1216,2525,544,2010-10-01,90,2015-08-01
135201,1998-10-01,5,0,0%,9,10274,206,10000,274,2008-01-01,9618,2007-09-01
135594,1983-09-01,13,12430,19.20%,32,5505,1305,5275,230,2008-05-01,4513,2007-09-01
136226,2003-06-01,8,12323,44%,16,5036,996,4300,736,2010-04-01,965,2016-05-01
136316,1998-09-01,10,38624,97.80%,23,3516,1308,3025,491,2010-05-01,577,2016-05-01
136491,2001-08-01,5,875,54.70%,8,2478,780,1756.71,575,2009-07-01,334,2015-03-01
136634,1987-12-01,7,1196,12%,16,10236,1536,8500,1736,2010-10-01,290,2010-10-01
137042,2000-03-01,9,26628,60.40%,18,6990,897,5650,1340,2010-10-01,204,2010-10-01
137106,1991-11-01,12,6752,24.60%,18,4383,539,4275,108,2008-01-01,4106,2007-10-01
137271,2003-09-01,3,458,91.60%,3,2314,1212,400.45,161,2008-06-01,71,2016-05-01
137965,1998-02-01,7,16786,44.70%,12,9014,3916,8000,1014,2010-02-01,2223,2011-01-01
138557,1981-02-01,10,7336,29.90%,20,9475,716,8275,1200,2010-10-01,266,2010-10-01
138568,1997-08-01,10,7089,41.90%,25,3768,1467,3275,493,2010-10-01,115,2010-10-01
139057,1993-10-01,7,18388,68.90%,22,6208,1750,5500,708,2010-09-01,13,2010-09-01
139657,2002-07-01,2,613,76.60%,7,1394,350,1200,194,2010-11-01,41,2013-07-01
139790,2004-09-01,3,566,51.50%,5,3598,2638,1956.75,545,2009-12-01,101,2016-05-01
139968,2001-09-01,9,9166,50.40%,20,12075,2627,10000,2075,2010-07-01,1334,2012-04-01
139980,1994-05-01,6,5406,33.40%,14,4821,1348,3891.56,845,2010-03-01,164,2010-08-01
140036,2001-11-01,7,1188,3%,7,869,478,719.9,149,2010-01-01,33,2016-05-01
140452,1976-12-01,9,12003,40.40%,9,3529,2147,3000,484,2010-10-01,109,2010-10-01
140561,1994-08-01,9,20511,62%,9,521,53,323.55,111,2008-05-01,73,2009-01-01
140687,1997-09-01,11,55720,10%,41,3265,1965,2825,440,2010-11-01,97,2016-05-01
140900,1980-10-01,14,7744,17.10%,34,8540,594,8275,265,2008-04-01,7502,2007-10-01
141041,1992-11-01,12,51761,38%,37,6096,1012,5275,821,2010-11-01,172,2010-10-01
141676,2003-09-01,10,579,23.20%,15,6891,1522,6225,666,2008-12-01,4428,2015-09-01
141774,1982-12-01,15,34776,54.30%,41,1606,652,1028.79,428,2008-08-01,163,2016-05-01
142281,2002-08-01,15,8047,33.80%,15,7851,617,7000,851,2009-05-01,3996,2016-04-01
142608,1999-01-01,6,0,0%,6,5932,2788,5000,827,2010-10-01,491,2010-09-01
142618,2000-09-01,5,409,81.80%,17,5702,1931,4800,902,2010-11-01,163,2010-10-01
142734,1981-04-01,9,185,0.50%,18,27753,1915,25000,2753,2009-06-01,13443,2009-06-01
142790,1990-06-01,13,48251,50.10%,28,5665,2013,4925,740,2010-06-01,666,2016-05-01
143102,2000-09-01,23,772,96.50%,29,3500,2336,3000,500,2010-11-01,99,2010-11-01
143128,1999-05-01,9,1019,4.50%,13,9505,1598,8000,1505,2010-11-01,274,2016-04-01
143566,1992-05-01,11,8332,39.90%,28,14567,324,12375,2192,2010-11-01,406,2010-10-01
144579,1991-02-01,12,1790,4.50%,22,10462,4382,9850,612,2008-10-01,7388,2008-10-01
144635,1990-06-01,14,62739,74.70%,33,9240,1372,6646.07,2584,2008-10-01,840,2016-05-01
146564,1995-01-01,6,29901,71.20%,19,8095,2248,6700.52,1373,2010-05-01,554,2016-05-01
146641,2003-07-01,6,5867,74.30%,7,8232,5197,8000,232,2008-02-01,7704,2007-10-01
146671,2001-12-01,8,10605,22.10%,27,26132,2980,25000,1132,2008-05-01,22121,2009-08-01
146844,1981-05-01,27,57196,44.50%,39,12700,2872,6316.3,4641,2011-12-01,101,2011-12-01
148473,1994-05-01,4,481,80.20%,17,4485,818,3239.25,894,2009-07-01,501,2011-01-01
149575,2003-07-01,2,2282,19%,2,11122,3059,10000,1122,2009-10-01,20,2009-10-01
149754,2004-09-01,8,3614,61.30%,13,4709,1140,3999.99,709,2010-11-01,136,2016-05-01
150940,1989-02-01,9,14930,79%,21,8175,1168,7000,1175,2010-05-01,1572,2016-04-01
151587,1979-01-01,7,33989,82.90%,16,22760,771,19950,2810,2009-11-01,7967,2009-11-01
151607,2003-08-01,4,1238,61.90%,6,1665,972,1500,165,2008-09-01,1200,2008-08-01
151621,1987-04-01,14,4746,18.50%,33,20610,401,18000,2610,2010-11-01,575,2010-11-01
152291,1999-07-01,7,3470,25.50%,8,5396,1238,4800,596,2010-11-01,152,2010-11-01
152663,2002-12-01,9,12640,83.20%,12,3162,2345,3000,162,2008-06-01,2582,2008-01-01
153022,1985-04-01,7,368,1.20%,15,3340,2032,3000,340,2010-10-01,12,2010-10-01
153054,1996-02-01,5,30597,89.50%,25,6691,1225,5875,816,2009-07-01,3045,2009-08-01
153235,1994-01-01,5,8537,75.50%,5,21381,665,18000,3381,2010-11-01,598,2011-10-01
153434,2003-09-01,10,15649,54.50%,23,14205,810,11999.99,2166,2010-11-01,307,2011-08-01
154141,1972-05-01,10,4067,7.30%,24,5418,1355,5000,418,2009-03-01,3077,2010-12-01
154154,2000-03-01,11,5836,68.70%,12,5135,1177,4800,335,2008-08-01,3892,2008-08-01
154286,1993-12-01,3,24615,94.70%,6,17587,1144,15000,2587,2011-03-01,574,2011-02-01
154305,1993-10-01,5,7600,71.70%,10,4199,1380,3599.99,599,2010-11-01,118,2011-01-01
154776,2002-09-01,8,9495,87.90%,8,2010,259,1492.33,518,2008-08-01,224,2015-03-01
155780,1990-07-01,9,4921,30.40%,9,5163,861,4800,363,2009-01-01,3215,2009-01-01
156021,1998-07-01,7,11200,23.20%,11,7776,1276,6400,1376,2012-04-01,74,2012-03-01
156417,1987-07-01,12,2444,5.60%,31,6209,1087,6000,209,2008-06-01,5279,2013-09-01
156868,2002-02-01,8,916,6.80%,8,28483,1324,24750,3733,2011-01-01,813,2010-12-01
157169,1997-11-01,12,148829,6.60%,43,10362,207,8260.95,2101,2008-12-01,822,2016-05-01
157768,1997-12-01,14,3209,12.60%,37,4560,488,3999.99,560,2010-12-01,129,2011-02-01
158289,1997-05-01,7,7570,82.30%,16,10594,864,9000,1594,2010-12-01,298,2016-04-01
158706,2000-12-01,4,13126,96.50%,4,14371,1162,12375,1996,2010-02-01,4260,2014-05-01
159468,1995-09-01,16,66654,51.60%,34,13400,2122,12000,1400,2009-02-01,8232,2009-02-01
159665,1963-05-01,4,50,0.30%,6,6433,1793,5750,683,2010-12-01,184,2010-12-01
159713,2002-03-01,4,3084,65.60%,4,987,713,804.23,144,2011-05-01,30,2016-05-01
161187,1992-07-01,10,2598,23.80%,15,14774,1141,12950,1824,2009-12-01,5172,2009-12-01
163627,1990-07-01,15,18168,68.50%,30,4687,1124,4000,687,2010-12-01,135,2013-02-01
163758,1982-03-01,7,24218,85.30%,7,3548,595,2999.99,548,2010-12-01,100,2010-12-01
164346,2003-11-01,4,0,0%,4,566,453,500,66,2010-12-01,34,2015-11-01
164741,1987-11-01,9,72303,73.70%,33,18833,606,16000,2833,2010-12-01,527,2010-12-01
164792,2004-10-01,6,1032,5%,7,18921,1076,17600,1321,2008-12-01,12792,2008-12-01
166437,1997-12-01,6,133,4.20%,20,11290,794,9600,1690,2010-08-01,117,2016-04-01
166534,2002-01-01,15,34023,57.70%,19,8878,110,6435.58,2010,2009-04-01,528,2009-12-01
166546,1995-08-01,8,12430,29.60%,14,3136,262,3000,136,2008-08-01,2484,2009-12-01
166683,1979-10-01,24,10742,8.90%,43,7306,1427,6499.99,806,2010-12-01,205,2014-05-01
166747,2000-04-01,5,2197,75.80%,13,2832,198,1997.01,654,2009-04-01,708,2009-12-01
167189,1995-10-01,4,88,23.80%,18,1588,73,1213.7,374,2008-10-01,159,2016-05-01
167205,1988-09-01,15,13867,33.70%,24,17496,409,15000,2496,2010-12-01,491,2011-02-01
167584,1994-06-01,2,3943,98.60%,5,4514,158,3494.37,1020,2009-02-01,323,2016-02-01
167645,1997-04-01,3,5405,40%,19,6779,791,6000,779,2010-04-01,4,2015-07-01
167846,1999-08-01,9,12102,49%,15,13442,1755,11300,2141,2010-06-01,8,2010-06-01
168100,1995-12-01,12,18076,81.40%,25,21558,632,17999.99,3558,2010-11-01,6,2010-11-01
168190,1993-06-01,8,4504,39.20%,11,2530,540,1901,597,2009-08-01,133,2016-05-01
168222,1994-08-01,8,25852,60.50%,27,27393,357,25000,2393,2008-11-01,19107,2008-10-01
169044,1985-11-01,12,32438,43%,23,21806,177,18499.99,3276,2011-01-01,637,2010-12-01
169254,1990-10-01,9,20380,48.10%,26,18868,472,17000,1868,2009-08-01,8643,2016-05-01
169354,2001-10-01,11,38054,61.20%,12,5895,411,5400,495,2009-02-01,3655,2009-02-01
169453,2004-01-01,4,25,0.20%,4,20480,831,18500,1980,2009-02-01,12618,2014-03-01
169525,2003-01-01,9,3305,55.10%,10,10479,409,9000,1449,2011-01-01,2,2011-01-01
169793,1997-03-01,11,348,4.80%,25,7895,363,5558.08,1865,2009-02-01,531,2009-11-01
170488,2004-03-01,6,3015,25.30%,9,5682,455,5000,682,2010-07-01,934,2010-07-01
170528,2002-04-01,9,7336,71.90%,24,14060,761,12000,2060,2010-12-01,394,2016-02-01
170929,1989-10-01,6,8644,72.60%,14,10043,1256,9000,1043,2009-01-01,6433,2012-12-01
171220,1997-12-01,5,93,0%,8,18931,327,4882.92,2284,2009-03-01,201,2016-05-01
171298,2000-01-01,7,2698,9.50%,17,7831,1119,7000,831,2010-12-01,226,2010-12-01
172644,1994-10-01,11,19009,30%,18,13997,182,12000,1997,2010-12-01,392,2011-11-01
172802,1972-07-01,7,498,7.30%,25,5699,798,5000,699,2010-12-01,160,2016-04-01
173029,1994-12-01,11,10358,91.70%,24,8312,995,6335.33,1830,2010-04-01,417,2010-09-01
173981,1972-12-01,6,2105,45.30%,33,3702,608,3200,502,2010-04-01,903,2014-07-01
174377,1999-10-01,12,2822,9.90%,24,5481,1770,4800,681,2010-02-01,1632,2010-02-01
175056,1994-01-01,6,21004,97.70%,35,23068,318,20000,3068,2010-01-01,7447,2014-06-01
175147,2000-03-01,17,11675,75.80%,29,2943,2320,2400,543,2010-12-01,86,2016-05-01
175193,2004-07-01,2,3933,43.70%,3,8588,1060,7500,1088,2010-12-01,243,2010-12-01
175582,1996-09-01,6,7251,80.60%,15,12061,754,10000,2061,2010-08-01,1650,2016-05-01
176062,1995-10-01,3,88,44%,17,932,233,678.15,254,2008-10-01,94,2016-05-01
176206,1995-02-01,4,1492,33.20%,5,3451,863,3000,451,2010-12-01,101,2011-05-01
176610,2002-09-01,8,7121,33.70%,9,3454,874,2975,479,2010-12-01,99,2010-12-01
176942,1999-07-01,8,17641,69.50%,18,19577,801,16500,3077,2010-03-01,1951,2010-04-01
176995,1999-07-01,10,30946,61.50%,18,12771,343,8471.54,3554,2009-02-01,860,2009-12-01
177075,1991-09-01,7,0,0%,30,17017,2207,15000,2017,2010-12-01,483,2015-08-01
177259,2000-08-01,5,23391,90.70%,14,19761,468,17950,1811,2009-01-01,12720,2009-01-01
177913,1991-10-01,11,16324,48%,25,7931,397,7000,931,2009-11-01,2989,2009-11-01
178157,2000-08-01,7,7104,93.50%,25,5512,48,2812.13,2025,2009-10-01,51,2010-02-01
178236,2002-08-01,7,9273,43.90%,10,14194,296,12000,2174,2010-02-01,4186,2010-11-01
178239,1995-12-01,8,6718,94.60%,11,8354,607,6999.99,1354,2010-12-01,237,2015-09-01
178977,1992-05-01,19,12017,12.10%,55,7222,22,5591.61,1631,2008-10-01,803,2016-05-01
179020,1993-01-01,9,5749,43.20%,23,10977,208,9325,1652,2010-12-01,308,2010-12-01
179897,1994-12-01,7,6530,21.80%,13,30104,533,25000,5104,2010-12-01,838,2010-12-01
180005,2000-06-01,8,2666,12.10%,19,4445,1862,4000,445,2010-01-01,1449,2013-02-01
180535,2002-04-01,16,3761,55.40%,27,4083,759,3500,583,2010-12-01,114,2010-12-01
180614,1993-04-01,14,33698,91.30%,24,30329,1116,24625,5704,2010-12-01,846,2016-05-01
180675,1980-10-01,21,3472,4.50%,63,13651,245,8767.32,2676,2009-03-01,818,2016-05-01
180712,1989-06-01,13,14534,48.90%,22,15180,2815,12000,3180,2010-12-01,436,2010-12-01
181036,2000-06-01,5,6703,47.50%,22,20706,1218,18000,2706,2010-12-01,581,2010-12-01
181590,1996-01-01,10,5861,53.80%,16,14581,669,12000,2581,2010-12-01,408,2010-12-01
181701,2004-02-01,4,5061,72.30%,6,5915,1302,5000,915,2009-12-01,2055,2010-02-01
182089,1991-02-01,11,16888,39.50%,40,24380,927,21000,3380,2010-12-01,679,2015-12-01
182554,1997-01-01,2,463,92.60%,9,4748,1252,3999.99,748,2010-11-01,16,2016-03-01
182589,1998-09-01,2,0,0%,13,10132,755,8800,1317,2010-11-01,12,2010-11-01
182845,2000-12-01,22,8283,12.70%,39,26631,640,25000,1631,2008-09-01,20211,2013-11-01
183801,1998-07-01,9,46525,93.60%,10,18186,919,15450,2736,2010-12-01,507,2015-11-01
183936,2000-10-01,14,2650,6.60%,18,6414,1991,5800,614,2010-04-01,254,2010-04-01
184296,1990-07-01,9,17,0.10%,15,12983,142,10210.53,2772,2009-06-01,899,2016-05-01
184562,1995-09-01,12,827,6.60%,22,2610,235,1732.25,505,2008-07-01,320,2009-01-01
184908,2004-08-01,5,961,26%,7,1171,543,999.99,156,2011-01-01,2,2011-01-01
185352,2004-08-01,4,1554,29.30%,4,6934,545,5999.99,934,2010-12-01,194,2010-12-01
185684,1992-02-01,8,10753,52.30%,15,14319,319,10005.99,3756,2009-07-01,765,2015-07-01
186499,1997-07-01,7,2227,3.80%,37,1111,972,1000,111,2010-08-01,186,
186572,1979-10-01,16,7606,18.60%,39,12348,746,12000,348,2008-05-01,11203,2015-10-01
186652,2001-11-01,10,8355,34.40%,12,10818,900,5058.01,1804,2010-05-01,201,2016-05-01
186840,2001-12-01,11,27293,86.60%,14,24741,1086,20000,4741,2010-12-01,694,2010-12-01
187464,2000-02-01,11,10157,26.20%,20,11556,1881,10000,1556,2010-12-01,326,2010-12-01
187671,1994-12-01,7,4209,75.20%,12,8655,398,5262.41,2504,2008-10-01,863,2009-10-01
188937,1998-07-01,20,0,0%,42,8111,2510,8000,111,2008-04-01,610,2011-02-01
189379,1997-03-01,8,1773,5%,15,2913,1145,2800,113,2008-08-01,2392,2008-07-01
190811,2001-09-01,5,949,55.80%,8,1112,1042,886.3,175,2009-06-01,63,2016-05-01
190846,2001-05-01,8,12308,43.60%,12,7662,782,5323.38,2339,2008-10-01,852,2016-05-01
